iter	Passed	Remaining
0	155	155464
1	167	83607
2	183	61134
3	202	50439
4	216	43087
5	231	38315
6	239	34004
7	251	31165
8	265	29182
9	277	27453
10	286	25744
11	300	24779
12	315	23939
13	329	23227
14	344	22624
15	359	22134
16	375	21709
17	384	21000
18	398	20596
19	417	20455
20	431	20134
21	444	19780
22	458	19495
23	466	18966
24	478	18652
25	491	18420
26	501	18056
27	510	17731
28	523	17537
29	537	17383
30	545	17056
31	558	16904
32	571	16754
33	580	16499
34	591	16297
35	603	16163
36	611	15927
37	626	15862
38	639	15747
39	649	15582
40	658	15411
41	671	15326
42	683	15212
43	691	15025
44	704	14956
45	718	14893
46	726	14731
47	739	14662
48	751	14583
49	763	14499
50	772	14370
51	784	14294
52	793	14183
53	802	14062
54	814	13998
55	828	13964
56	839	13890
57	852	13839
58	863	13778
59	872	13670
60	884	13615
61	897	13584
62	906	13482
63	917	13414
64	930	13389
65	941	13317
66	952	13262
67	965	13228
68	977	13193
69	985	13095
70	998	13066
71	1010	13029
72	1019	12952
73	1031	12905
74	1043	12875
75	1053	12806
76	1064	12763
77	1077	12736
78	1090	12707
79	1098	12634
80	1110	12594
81	1122	12571
82	1131	12498
83	1143	12472
84	1154	12427
85	1165	12386
86	1181	12396
87	1196	12395
88	1211	12397
89	1224	12378
90	1231	12302
91	1247	12311
92	1261	12306
93	1274	12286
94	1288	12270
95	1296	12208
96	1308	12179
97	1320	12155
98	1329	12100
99	1341	12075
100	1354	12058
101	1363	12008
102	1375	11978
103	1390	11980
104	1402	11958
105	1411	11905
106	1424	11886
107	1437	11873
108	1446	11823
109	1456	11784
110	1469	11771
111	1483	11764
112	1491	11707
113	1503	11683
114	1515	11661
115	1523	11609
116	1535	11585
117	1545	11551
118	1555	11513
119	1570	11514
120	1583	11504
121	1591	11454
122	1605	11447
123	1617	11425
124	1630	11413
125	1638	11367
126	1652	11359
127	1666	11353
128	1676	11320
129	1688	11302
130	1700	11279
131	1714	11272
132	1723	11232
133	1735	11217
134	1749	11211
135	1762	11198
136	1771	11157
137	1785	11154
138	1799	11148
139	1814	11147
140	1826	11125
141	1841	11124
142	1856	11127
143	1869	11114
144	1886	11122
145	1902	11131
146	1918	11131
147	1940	11173
148	1950	11142
149	1967	11146
150	1983	11154
151	1999	11156
152	2015	11156
153	2031	11161
154	2044	11146
155	2057	11132
156	2073	11133
157	2082	11098
158	2094	11077
159	2108	11069
160	2122	11059
161	2130	11022
162	2143	11006
163	2158	11003
164	2174	11002
165	2188	10994
166	2205	10998
167	2221	11003
168	2240	11016
169	2258	11026
170	2279	11048
171	2299	11067
172	2311	11050
173	2324	11035
174	2337	11018
175	2350	11002
176	2359	10970
177	2374	10964
178	2388	10953
179	2401	10942
180	2416	10935
181	2429	10918
182	2438	10887
183	2450	10869
184	2466	10863
185	2479	10851
186	2489	10821
187	2502	10808
188	2515	10795
189	2533	10799
190	2546	10785
191	2554	10750
192	2567	10735
193	2581	10725
194	2594	10709
195	2601	10673
196	2615	10661
197	2629	10649
198	2637	10616
199	2650	10600
200	2663	10588
201	2677	10575
202	2685	10542
203	2697	10526
204	2711	10513
205	2720	10483
206	2735	10479
207	2747	10462
208	2760	10449
209	2774	10436
210	2783	10407
211	2796	10395
212	2811	10387
213	2828	10387
214	2846	10394
215	2860	10382
216	2873	10369
217	2888	10360
218	2897	10333
219	2910	10318
220	2923	10304
221	2931	10272
